song_id,danceability,duration_ms,energy,acousticness,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4m3GHOgCNZMv0we7H9j8Y8,0.450,362880,0.849,0.0222,0,0.00455,5,0.079,-5.075,1,0.0570,139.925,0.161
0ZxZsjMMyLgjRV1XLWlIaS,0.382,274133,0.943,0.0001,0,0.00011,8,0.396,-5.434,1,0.0872,105.032,0.128
0Jc2SfIHv63JNsUZpunh54,0.179,162120,0.167,0.8520,0,0.748,1,0.106,-23.408,1,0.0394,124.266,0.040
5QZunYrvUrJs3Mzrjl7fKV,0.507,266547,0.770,0.0809,0,0,0,0.214,-5.018,1,0.0424,155.945,0.482
0X0zDB7RqpWOIwCHGr2Whu,0.315,210640,0.925,0.0030,0,0.0642,0,0.114,-4.507,1,0.1170,185.305,0.415
44Ct3hm0XrOVa32oE7yTj7,0.485,261720,0.589,0.0833,0,0.00432,7,0.089,-7.674,1,0.0322,137.996,0.190
1029DpUbgEVAhc79ZgE7aa,0.778,210547,0.468,0.6270,0,0,8,0.090,-4.838,1,0.0529,122.326,0.967
1qsoQzhJM3eHiF6EFjajZL,0.636,249160,0.774,0.1450,1,0,0,0.633,-5.474,1,0.3440,92.429,0.774
6bdCSQbpTMcXv1CYGGa8Ea,0.830,187573,0.723,0.2740,0,0.0547,7,0.333,-6.983,1,0.0404,132.602,0.870
6tO1amT2NLvgsBzBhHOR1S,0.269,207400,0.904,0.0020,0,0,5,0.312,-5.715,1,0.1880,177.423,0.346
1YtHpYEbbfQQIyxXkdxEoW,0.441,169715,0.934,0.0395,0,0.96,7,0.150,-6.766,0,0.0482,109.980,0.374
4i95IcFlxQLIVDlChgAHGU,0.517,252920,0.846,0.0435,0,0,7,0.177,-4.332,1,0.0346,89.912,0.683
28AUzRo0nQLESL55WDV0um,0.663,220800,0.861,0.0338,0,0,7,0.082,-3.398,0,0.1090,119.963,0.654
6TghWaPh1WHJKWXow7iujH,0.468,199680,0.882,0.0035,0,1.57E-06,6,0.372,-3.906,1,0.0636,164.035,0.327
1e9fQQKmHAG3FezQFyrCeT,0.581,259040,0.852,0.9240,1,3.23E-06,0,0.410,-10.142,0,0.9260,125.082,0.322
5LfDOTMc5zVt3RLvLkme3L,0.517,239200,0.737,0.5670,0,0.00069,0,0.190,-5.737,1,0.0322,122.783,0.831
1vWGa8yC21ZELs9dAhiC2Q,0.508,176613,0.831,0.1210,0,5.56E-06,5,0.352,-5.273,0,0.0333,149.915,0.650
5suJZTE8SpSmR4zMqxLg3V,0.656,266213,0.734,0.0896,0,9.99E-05,3,0.301,-10.25,1,0.0280,116.246,0.591
7mBFueHAPlAKCWEpxw4Tx1,0.479,229920,0.372,0.1750,0,0.00011,4,0.123,-10.866,1,0.0322,144.808,0.272
45ou2UBThJA4WtFGIiYLI3,0.619,256307,0.799,0.0199,0,0,0,0.126,-4.642,1,0.0301,142.033,0.605
28lU91CRfUdWJEY7KbhZBL,0.459,228960,0.823,0.0033,0,1.75E-05,4,0.189,-6.481,1,0.0370,152.062,0.550
3mTyzSoSqh6KJj9p88WHaY,0.607,196133,0.733,0.0005,0,1.59E-06,6,0.313,-4.13,0,0.0312,140.097,0.570
0OQyjeW3jHynzehiKw1wPo,0.666,165973,0.519,0.0850,0,0,11,0.240,-7.88,1,0.0476,135.891,0.457
5wZv3YevrrMZBlNrUTI4Yd,0.480,237120,0.621,0.2060,0,0,4,0.134,-4.814,1,0.0372,207.676,0.713
11ozIUBoXAgRTVWelDn4pL,0.703,244267,0.731,0.0721,0,0.00191,8,0.138,-6.283,0,0.0311,120.028,0.719
2vtB7ASUDlJkTB7sn1yugu,0.854,139493,0.857,0.2550,0,0,10,0.120,-2.498,1,0.0509,116.996,0.964
56LMxFFL4FacadvviKDAh9,0.769,188560,0.824,0.0928,0,0,6,0.028,-2.778,1,0.0621,150.020,0.938
0NrwQdPgOlLkVEC3VMlU42,0.544,210093,0.870,0.0015,0,2.80E-06,8,0.246,-6.103,1,0.2600,129.984,0.502
0PG9RK1V62OsPRTmwKq566,0.926,252558,0.711,0.2290,0,3.06E-06,0,0.060,-3.377,0,0.0468,125.083,0.900
2YEQNToSXA0iOxzpHPlkw9,0.468,218840,0.774,0.0319,0,0,2,0.067,-4.716,1,0.0316,141.959,0.408
4Po4C0odXzBWN3z5F9qiBa,0.586,245893,0.694,0.6680,0,0,1,0.083,-4.831,0,0.0286,132.039,0.308
2auNjgM4xIOANxtZT4Xe9z,0.434,244062,0.758,0.5970,0,2.93E-06,9,0.248,-4.807,0,0.3120,178.589,0.473
46WOptLnXUtH3LOyYvmMO1,0.645,215507,0.777,0.0065,0,0.0039,2,0.119,-7.235,1,0.0418,88.455,0.331
3ePsmfhb7hduvnDadoNNyi,0.732,218240,0.276,0.8640,0,5.05E-06,1,0.096,-12.828,1,0.0427,139.821,0.668
74AGKeviSXmSHtRhgJLblx,0.663,309227,0.553,0.3230,0,3.76E-06,6,0.098,-7.374,0,0.1320,163.881,0.504
0cSkIGgh1uICEIcmEb1niw,0.911,185312,0.565,0.4290,0,0,9,0.080,-6.209,0,0.0718,96.012,0.751
2uEqb2TEV29ktnJl8DyObt,0.926,187000,0.549,0.2490,0,8.48E-05,0,0.090,-5.431,1,0.0364,106.992,0.966
7tK1fO2PVs80OnVB1RSa89,0.565,245187,0.449,0.3410,0,1.31E-05,11,0.132,-10.962,1,0.0284,134.039,0.119
